
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,士林高商,34,1,5,0,7,7,2,2,38,2,27,0,1,126
,大同高中,0,2,2,1,3,2,1,2,4,0,12,0,0,29
,大安高工,36,1,3,0,3,0,7,15,64,1,40,0,1,171
,大直高中,0,0,1,0,1,0,1,3,2,0,9,0,0,17
,大理高中,0,0,2,0,1,0,0,1,9,0,4,0,0,17
,中山女中,0,0,2,0,4,0,1,1,2,0,2,0,0,12
,中正高中,0,1,0,0,3,4,5,3,7,0,13,0,0,36
,中崙高中,0,0,4,0,0,2,2,2,2,1,13,0,0,26
,內湖高工,38,0,3,0,2,0,1,8,44,2,26,0,3,127
,內湖高中,0,2,1,0,5,2,3,1,8,0,8,0,1,31
,木柵高工,32,0,3,0,2,0,1,8,45,1,24,0,0,116
,北一女中,0,2,6,0,2,2,2,2,0,0,8,0,0,24
,永春高中,1,0,2,0,0,1,0,3,2,0,6,0,0,15
,成功高中,0,2,4,0,3,0,2,0,2,0,18,0,1,32
,成淵高中,0,1,4,0,0,2,3,6,6,0,8,0,0,30
,百齡高中,0,0,1,1,3,2,1,4,3,0,4,0,0,19
,西松高中,0,1,0,0,0,1,3,5,7,0,8,0,0,25
,私立十信高中,0,0,0,0,1,0,2,1,9,0,7,0,1,21
,私立大同高中,0,0,0,0,1,0,0,0,12,0,2,0,1,16
,私立大誠高中,0,0,0,0,1,0,1,1,4,0,0,0,0,7
,私立中興高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,私立文德女中,0,0,0,0,0,0,0,1,0,0,1,0,0,2
,私立方濟高中,0,0,0,0,2,0,1,0,3,0,0,0,1,7
,私立志仁高中職業學校,1,0,0,0,2,0,0,1,19,0,3,0,1,27
,私立育達高職,13,1,3,1,2,2,2,16,117,0,25,0,6,188
,私立協和祐德高中,5,0,2,0,0,0,2,9,40,0,12,0,1,71
,私立延平高中,0,0,0,0,0,0,1,0,0,0,2,0,0,3
,私立東山高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,私立東方工商,6,0,2,0,0,1,0,5,46,0,10,0,2,72
,私立金甌女中,2,1,1,0,0,0,0,2,13,0,6,0,1,26
,私立南華高中,2,0,0,0,0,0,1,2,2,0,2,0,0,9
,私立泰北高中,1,0,1,1,0,0,2,6,47,0,13,0,1,72
,私立強恕高中,0,0,0,0,0,0,0,2,6,0,1,0,0,9
,私立惇敘工商,20,1,0,0,1,0,0,1,44,0,14,0,0,81
,私立喬治工商,2,0,0,0,0,0,1,1,17,0,1,0,0,22
,私立復興實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,私立景文高中,3,0,0,0,3,2,2,7,26,0,7,0,1,51
,私立華岡藝術學校,0,0,0,0,0,0,0,1,5,0,2,0,0,8
,私立華興中學,0,0,0,0,1,0,0,1,1,0,2,0,0,5
,私立開平餐飲學校,1,0,0,1,0,0,0,4,42,0,7,0,0,55
,私立開南商工,6,0,0,0,0,1,0,5,55,0,13,0,0,80
,私立達人女中,0,0,0,0,0,1,0,0,0,0,1,0,0,2
,私立滬江高中,6,0,0,0,0,0,2,5,61,1,14,0,3,92
,私立稻江高商,1,0,1,0,1,0,0,1,19,0,2,0,0,25
,私立稻江護家,39,2,6,0,4,1,2,8,58,1,9,0,2,132
,私立靜修女中,0,0,2,0,0,0,0,0,6,0,0,0,0,8
,育成高中,1,0,1,0,0,2,0,3,9,0,4,0,0,20
,和平高中,0,1,2,0,0,2,2,2,5,0,17,0,0,31
,明倫高中,0,1,0,0,0,0,0,2,3,0,3,0,0,9
,松山工農,36,0,2,0,2,3,1,12,44,0,39,0,2,141
,松山家商,30,0,6,0,5,5,1,6,31,1,28,0,1,114
,松山高中,0,1,2,0,4,1,4,3,8,2,20,0,2,47
,南港高工,36,0,2,0,1,0,0,10,58,2,27,0,3,139
,南港高中,0,0,0,0,1,1,1,2,8,0,4,0,0,17
,南湖高中,0,0,0,0,2,2,3,3,7,0,7,0,0,24
,建國高中,0,1,4,1,6,1,4,3,3,0,55,0,0,78
,政大附中,0,0,1,0,1,0,2,3,1,0,4,0,0,12
,師大附中,0,5,3,0,5,2,13,5,2,1,28,0,0,64
,復興高中,0,0,2,0,0,0,1,5,7,0,4,0,1,20
,景美女中,0,1,0,0,1,0,3,1,1,0,2,0,0,9
,華江高中,0,0,0,0,7,0,0,2,4,0,9,0,0,22
,陽明高中,0,0,0,1,2,0,0,2,6,0,8,0,0,19
,萬芳高中,0,1,3,0,0,0,2,1,7,0,7,0,0,21
,麗山高中,0,0,2,0,2,0,1,5,5,0,12,0,0,27
,總計,352,29,91,7,97,52,92,217,1106,15,666,0,37,2761
