
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,0,1,0,3,0,2,1,0,0,2,0,2,11
,大溪高中,0,1,0,1,1,0,1,0,0,0,0,0,0,4
,大興高中,10,0,3,1,4,0,0,4,17,0,0,0,3,42
,中壢家商,0,1,5,0,1,0,0,3,20,0,2,0,2,34
,中壢高中,0,4,2,1,1,0,2,5,1,3,8,0,4,31
,中壢高商,76,0,3,0,6,0,0,7,16,9,6,0,3,126
,內壢高中,0,0,1,0,3,0,0,2,4,2,11,0,0,23
,六和高中,0,0,1,0,1,0,1,0,3,0,2,0,0,8
,方曙商工,26,0,0,0,1,0,1,2,8,6,3,0,1,48
,平鎮高中,0,0,2,0,6,0,1,7,1,0,5,0,4,26
,永平工商,5,1,3,0,2,0,0,4,54,1,5,0,1,76
,永豐高中,0,1,1,0,0,0,0,2,4,0,1,0,0,9
,光啟高中,9,0,1,2,7,0,3,7,26,0,1,0,3,59
,成功工商,9,0,3,0,5,0,1,3,32,0,7,0,3,63
,至善高中,4,0,1,0,3,0,0,2,7,0,0,0,1,18
,育達高中,10,0,9,0,7,0,1,6,30,2,5,0,10,80
,武陵高中,0,2,8,1,6,0,2,9,0,0,7,0,5,40
,治平高中,3,0,1,1,4,0,2,7,16,0,2,0,2,38
,南崁高中,0,0,1,1,1,0,0,2,7,1,1,0,0,14
,泉僑高中,0,0,1,1,2,0,0,3,2,0,2,0,0,11
,振聲高中,2,0,3,1,3,0,1,6,10,0,9,0,4,39
,桃園高中,0,3,3,0,5,0,0,4,2,0,7,0,1,25
,桃園農工,76,2,2,1,3,0,0,12,37,12,14,0,2,161
,啟英高中,46,2,4,0,11,0,1,9,63,9,5,0,8,158
,清華高中,90,2,3,0,7,0,0,4,27,7,4,0,2,146
,復旦高中,0,1,0,0,0,0,0,0,0,0,0,0,1,2
,陽明高中,0,2,3,0,4,0,0,4,0,0,8,0,2,23
,新興高中,1,3,5,1,11,0,1,7,38,2,6,0,7,82
,楊梅高中,0,0,4,0,4,0,1,5,8,2,2,0,2,28
,壽山高中,1,1,1,0,4,0,0,8,2,0,8,0,0,25
,龍潭農工,72,1,4,0,0,0,1,6,24,10,10,0,0,128
,總計,440,27,79,12,116,0,22,141,459,66,143,0,73,1578
