
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,0,1,0,2,2,1,0,0,2,0,0,8
,大溪高中,0,1,0,0,0,0,0,0,0,1,0,0,2
,大興高中,10,0,2,1,4,0,2,10,0,2,0,2,33
,中壢家商,0,0,3,0,2,1,0,15,0,1,0,2,24
,中壢高中,0,2,1,1,1,1,3,2,3,2,0,6,22
,中壢高商,73,1,1,1,4,0,4,17,8,5,0,4,118
,內壢高中,0,0,1,0,2,1,3,2,2,8,0,1,20
,六和高中,0,0,1,0,1,0,1,1,0,1,0,0,5
,方曙商工,28,0,0,0,1,1,2,12,3,4,0,2,53
,平鎮高中,0,0,3,0,6,0,6,0,0,4,0,2,21
,永平工商,3,2,2,0,5,0,2,44,0,4,0,3,65
,永豐高中,0,1,0,0,0,0,2,3,0,1,0,1,8
,光啟高中,9,2,1,1,7,4,5,19,1,2,0,4,55
,成功工商,9,0,3,0,3,0,2,15,2,7,0,3,44
,至善高中,3,0,1,0,5,0,0,8,0,0,0,1,18
,育達高中,10,0,9,0,6,0,7,24,2,2,0,11,71
,武陵高中,0,3,8,1,6,2,5,0,0,10,0,9,44
,治平高中,3,0,1,1,4,2,7,12,1,2,0,0,33
,南崁高中,0,0,1,1,0,0,0,6,1,1,0,0,10
,泉僑高中,0,0,1,0,2,0,0,0,0,1,0,1,5
,振聲高中,2,0,3,1,2,1,6,9,2,7,0,6,39
,桃園高中,0,3,3,0,4,0,1,2,0,6,0,1,20
,桃園農工,76,2,3,2,3,1,7,25,11,8,0,6,144
,啟英高中,46,2,2,1,11,0,7,48,10,5,0,5,137
,清華高中,85,2,5,1,9,1,5,18,9,3,0,0,138
,復旦高中,0,0,3,0,0,0,1,0,0,0,0,0,4
,陽明高中,0,3,4,0,4,0,2,0,0,7,0,2,22
,新興高中,1,3,5,1,10,2,5,27,0,4,0,6,64
,楊梅高中,0,0,4,0,4,0,2,8,2,3,0,2,25
,壽山高中,0,1,1,0,3,0,2,1,0,5,0,0,13
,龍潭農工,71,2,7,0,0,0,5,20,11,8,0,0,124
,總計,429,30,80,13,111,19,95,348,68,116,0,80,1389
