
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,80,1,2,0,0,1,3,35,3,3,0,1,129
,大甲高中,0,0,5,1,1,0,0,15,1,0,0,1,24
,大里高中,0,0,2,2,4,6,5,1,1,2,0,0,23
,大里高中,0,0,0,0,1,1,2,0,1,0,0,0,5
,大明高中,4,1,2,1,4,6,7,39,0,0,0,4,68
,中港高中,0,1,0,0,0,0,0,1,0,0,0,0,2
,文華高中,0,3,8,0,5,4,3,2,0,3,0,0,28
,台中一中,0,6,7,1,11,9,7,1,2,8,0,4,56
,台中二中,0,0,5,3,5,5,5,1,0,2,0,0,26
,台中女中,0,2,5,0,12,10,0,0,0,0,0,4,33
,台中技院附高商進校,1,0,0,1,3,0,0,0,0,0,0,1,6
,台中家商,39,2,7,0,7,7,4,38,4,2,0,0,110
,台中高工,37,2,4,0,5,5,11,67,4,2,0,0,137
,台中高農,79,1,4,0,7,8,12,45,11,10,0,2,179
,台中啟明學校附設高職進修學校,0,0,1,0,1,0,0,1,0,0,0,0,3
,弘文高中,0,0,0,0,3,1,0,0,0,0,0,0,4
,玉山高中,37,0,0,1,8,7,2,33,1,1,0,0,90
,立人高中,0,1,0,0,0,2,1,0,1,0,0,1,6
,光華高工,1,0,1,1,3,1,3,24,0,0,0,0,34
,后綜高中,0,0,0,0,0,0,0,1,0,1,0,0,2
,西苑高中,0,1,0,0,5,0,0,2,0,1,0,0,9
,沙鹿高工,86,3,2,0,5,6,4,30,4,2,0,1,143
,宜寧高中,0,0,2,2,1,0,3,6,1,1,0,0,16
,忠明高中,0,1,1,0,0,0,0,2,1,2,0,0,7
,明台高中,3,1,1,0,6,6,5,55,1,0,0,3,81
,明道高中,0,1,1,0,4,1,1,15,2,0,0,1,26
,明德女中,2,0,2,1,5,8,4,42,0,4,0,0,68
,東大附中,0,0,0,0,0,0,0,0,0,1,0,0,1
,東山高中,0,0,0,0,0,1,0,0,0,1,0,0,2
,東勢高工,38,1,4,1,2,3,4,47,1,2,0,2,105
,長億高中,0,0,1,0,4,1,0,1,0,3,0,0,10
,青年高中,10,0,1,0,5,5,10,35,1,2,0,2,71
,致用高中,5,1,2,1,7,7,1,27,1,0,0,1,53
,常春籐高中,0,0,0,0,0,0,4,0,0,0,0,0,4
,清水高中,0,2,1,0,0,3,3,0,0,0,0,0,9
,惠文高中,0,0,3,1,4,0,0,0,0,2,0,1,11
,華盛頓高中,0,0,2,0,1,2,1,0,0,0,0,0,6
,慈明高中,5,2,2,1,11,4,5,42,1,0,0,3,76
,新民高中,1,5,3,1,5,6,4,19,0,3,0,1,48
,新社高中,0,1,0,0,1,4,1,3,1,0,0,0,11
,僑泰高中,6,1,3,3,10,9,8,84,3,2,0,2,131
,嘉陽高中,12,1,1,1,5,15,4,70,0,4,0,6,119
,曉明女中,0,0,2,0,1,3,0,0,0,0,0,0,6
,嶺東高中,1,3,1,0,6,2,2,28,0,2,0,1,46
,豐原高中,0,1,1,0,0,1,1,0,0,0,0,1,5
,豐原高商,56,3,2,1,11,4,2,18,3,3,0,3,106
,霧峰農工,72,1,4,1,2,2,5,20,9,3,0,0,119
,總計,575,49,95,25,181,166,137,850,58,72,0,46,2254
