
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,0,0,0,0,4,0,0,1,0,2,0,1,8
,三重高中,1,0,0,0,2,0,1,0,0,1,0,0,5
,三重商工,118,1,0,0,3,2,2,16,5,11,0,0,158
,中和高中,0,0,4,0,3,3,1,2,1,5,0,2,21
,中華高中,2,0,2,0,1,0,0,3,0,0,0,0,8
,中華商海,4,0,0,0,0,0,1,4,1,0,0,0,10
,丹鳳高中,0,0,1,0,2,0,0,1,0,1,0,0,5
,永平高中,0,1,0,0,0,3,2,1,1,1,0,0,9
,石碇高中,0,0,0,0,0,0,1,0,1,3,0,0,5
,光仁高中,0,0,0,0,0,0,3,0,0,1,0,0,4
,光華高商進修學校,1,0,1,0,1,1,0,1,0,0,0,0,5
,安康高中,0,0,0,0,1,0,0,0,0,2,0,0,3
,竹林高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,秀峰高中,0,1,0,0,0,1,0,1,0,5,0,0,8
,明德高中,0,0,1,0,1,1,1,0,2,2,0,1,9
,東海高中,7,1,1,1,2,5,0,14,1,4,0,1,37
,林口高中,0,0,0,0,0,1,1,2,0,3,0,1,8
,板橋高中,0,6,1,0,8,2,3,0,2,10,0,1,33
,金山高中,0,0,1,0,0,2,0,0,1,1,0,0,5
,南山高中,0,0,1,0,0,1,0,0,0,3,0,0,5
,南強工商,4,1,1,0,3,1,3,25,2,2,0,1,43
,恆毅高中,0,0,1,0,1,0,0,0,0,0,0,0,2
,徐匯高中,0,1,1,0,1,1,0,1,0,1,0,0,6
,格致高中,0,0,0,0,3,2,0,3,0,1,0,0,9
,泰山高中,0,0,12,0,0,1,1,21,0,5,0,1,41
,海山高工,73,1,2,0,3,1,3,25,5,8,0,1,122
,海山高中,0,2,1,0,2,1,0,6,0,1,0,0,13
,能仁家商,129,0,0,0,3,5,6,19,9,20,0,2,193
,國立三重高中,0,0,1,0,5,0,1,2,1,3,0,0,13
,崇義高中,0,0,0,0,0,2,0,0,0,0,0,0,2
,康橋實驗高中,0,0,0,0,0,0,0,1,0,1,0,0,2
,淡水商工,107,3,3,1,2,2,4,27,13,20,0,0,182
,淡江高中,0,0,0,0,1,2,1,1,0,2,0,1,8
,清水高中,1,1,1,0,1,0,0,2,0,1,0,1,8
,清傳高商,1,0,0,0,0,0,1,0,0,5,0,0,7
,莊敬工家,8,1,2,0,1,2,4,22,2,0,0,0,42
,復興商工,1,0,5,0,3,7,6,32,1,5,0,2,62
,智光商工,3,2,5,0,5,6,7,18,1,14,0,1,62
,華僑實驗高中,0,0,3,0,0,1,1,2,0,11,0,0,18
,開明工商,5,0,1,2,3,5,2,39,0,2,0,0,59
,新店高中,0,0,1,0,4,2,7,0,0,8,0,0,22
,新莊高中,0,0,1,0,3,1,0,1,0,9,0,1,16
,瑞芳高工,12,0,0,0,3,1,1,13,0,6,0,0,36
,聖心女中,0,0,0,0,0,0,0,1,0,0,0,0,1
,榖保家商,42,0,5,0,9,4,5,24,5,9,0,1,104
,樹人家商,1,0,2,0,2,4,2,8,1,1,0,1,22
,樹林高中,0,1,1,0,3,2,0,2,0,1,0,0,10
,豫章工商,2,1,1,4,5,4,2,23,2,6,0,1,51
,醒吾高中,1,0,2,0,3,5,1,4,2,2,0,1,21
,錦和高中,0,0,3,0,2,2,1,0,0,2,0,0,10
,雙溪高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,辭修高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,鶯歌高職,75,1,2,0,5,0,0,23,6,7,0,1,120
,總計,598,25,71,8,104,87,75,393,65,208,0,23,1657
