
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,44,0,1,0,2,0,1,5,86,9,4,0,0,152
,光復高中,32,1,0,1,4,0,1,6,162,5,8,0,0,220
,成德高中,1,0,1,0,0,0,0,1,10,0,2,0,0,15
,建功高中,0,1,0,0,1,0,1,5,6,0,14,0,0,28
,科學工業園區高中,0,1,3,0,1,0,0,2,1,0,5,0,1,14
,香山高中,0,0,1,0,2,0,1,3,20,0,2,0,0,29
,新竹女中,0,2,2,0,4,0,2,3,1,2,4,0,0,20
,新竹高工,65,2,2,0,0,0,2,7,51,5,11,0,1,146
,新竹高中,0,2,1,0,1,1,2,7,3,0,9,0,2,28
,新竹高商,0,3,1,0,4,0,5,7,38,1,11,0,0,70
,磐石高中,0,0,0,0,1,0,0,0,19,2,1,0,0,23
,曙光女中,0,0,0,0,0,0,0,1,2,0,0,0,0,3
,總計,142,12,12,1,20,1,15,47,399,24,71,0,4,748
